Commodity,Increase Percentage
Rice,17.142857142857142
Wheat,15.517241379310345
Atta (Wheat),26.666666666666668
Gram Dal,30.985915492957744
Tur/Arhar Dal,25.742574257425744
Urad Dal,24.836601307189536
Moong Dal,10.784313725490197
Masoor Dal,27.835051546391753
Sugar,14.285714285714285
Milk,20.0
Groundnut Oil (Packed),29.67032967032967
Mustard Oil (Packed),49.473684210526315
Vanaspati (Packed),52.662721893491124
Soya Oil (Packed),51.461988304093566
Sunflower Oil (Packed),51.36612021857923
Palm Oil (Packed),55.84415584415584
Gur,13.461538461538462
Tea Loose,25.454545454545453
Salt Pack (Iodised),20.0
Potato,-9.090909090909092
Onion,21.428571428571427
Tomato,24.242424242424242
